SGD.id	SYMBOL	SYSTEMATIC.name	ABUNDANCE.value	ABUNDANCE.units
S000004402	Vip1p	YLR410W	6646.0	molecules/cell
S000004403	Ctr3p	YLR411W	""	""
S000004404	Ber1p	YLR412W	2316.0	molecules/cell
S000004405	Ina1p	YLR413W	7748.0	molecules/cell
S000004406	Pun1p	YLR414C	4630.0	molecules/cell
S000004407	Ylr415Cp	YLR415C	""	""
S000004408	Ylr416Cp	YLR416C	""	""
S000004409	Vps36p	YLR417W	1784.0	molecules/cell
S000004410	Cdc73p	YLR418C	5367.0	molecules/cell
S000004411	Ylr419Wp	YLR419W	4875.0	molecules/cell
S000004412	Ura4p	YLR420W	11684.0	molecules/cell
S000004413	Rpn13p	YLR421C	6873.0	molecules/cell
S000004414	Dck1p	YLR422W	1281.0	molecules/cell
S000004415	Atg17p	YLR423C	746.0	molecules/cell
S000004416	Spp382p	YLR424W	556.0	molecules/cell
S000004417	Tus1p	YLR425W	509.0	molecules/cell
S000004418	Tda5p	YLR426W	2036.0	molecules/cell
S000004419	Mag2p	YLR427W	1601.0	molecules/cell
S000004420	Ylr428Cp	YLR428C	""	""
S000004421	Crn1p	YLR429W	9231.0	molecules/cell
S000004422	Sen1p	YLR430W	2549.0	molecules/cell
S000004423	Atg23p	YLR431C	969.0	molecules/cell
S000004424	Imd3p	YLR432W	27214.0	molecules/cell
S000004425	Cna1p	YLR433C	3891.0	molecules/cell
S000004426	Ylr434Cp	YLR434C	""	""
S000004427	Tsr2p	YLR435W	4657.0	molecules/cell
S000004428	Ecm30p	YLR436C	1871.0	molecules/cell
S000004429	Dif1p	YLR437C	2304.0	molecules/cell
S000004430	Car2p	YLR438W	21955.0	molecules/cell
S000004431	Mrpl4p	YLR439W	3546.0	molecules/cell
S000004432	Sec39p	YLR440C	2418.0	molecules/cell
S000004433	Rps1Ap	YLR441C	50202.0	molecules/cell
S000004434	Sir3p	YLR442C	1453.0	molecules/cell
S000004435	Ecm7p	YLR443W	14.0	molecules/cell
S000004436	Ylr444Cp	YLR444C	""	""
S000004437	Gmc2p	YLR445W	3071.0	molecules/cell
S000004438	Ngk1p	YLR446W	361.0	molecules/cell
S000004439	Vma6p	YLR447C	14016.0	molecules/cell
S000004440	Rpl6Bp	YLR448W	37816.0	molecules/cell
S000004441	Fpr4p	YLR449W	9517.0	molecules/cell
S000004442	Hmg2p	YLR450W	3501.0	molecules/cell
S000004443	Leu3p	YLR451W	299.0	molecules/cell
S000004444	Sst2p	YLR452C	2900.0	molecules/cell
S000004445	Rif2p	YLR453C	976.0	molecules/cell
S000004446	Fmp27p	YLR454W	1620.0	molecules/cell
S000004447	Pdp3p	YLR455W	3177.0	molecules/cell
S000004448	Ylr456Wp	YLR456W	1000.0	molecules/cell
S000004449	Nbp1p	YLR457C	1460.0	molecules/cell
S000004450	Ylr458Wp	YLR458W	""	""
S000004451	Gab1p	YLR459W	1889.0	molecules/cell
S000004452	Ylr460Cp	YLR460C	1258.0	molecules/cell
S000004453	Pau4p	YLR461W	""	""
S000004454	Ylr462Wp	YLR462W	1444.0	molecules/cell
S000004455	Ylr463Cp	YLR463C	""	""
S000004456	Ylr464Wp	YLR464W	1152.0	molecules/cell
S000004457	Bsc3p	YLR465C	""	""
S000004458	Yrf1-4p	YLR466W	913.0	molecules/cell
S000004459	Yrf1-5p	YLR467W	585.0	molecules/cell
S000004460	Ypt7p	YML001W	9078.0	molecules/cell
S000004461	Vrl1p	YML002W	1080.0	molecules/cell
S000004462	Yml003Wp	YML003W	1184.0	molecules/cell
S000004463	Glo1p	YML004C	7556.0	molecules/cell
S000004464	Trm12p	YML005W	1241.0	molecules/cell
S000004465	Gis4p	YML006C	1728.0	molecules/cell
S000004466	Yap1p	YML007W	2111.0	molecules/cell
S000004467	Erg6p	YML008C	23127.0	molecules/cell
S000004468	Mrpl39p	YML009C	2555.0	molecules/cell
S000004469	Yml009C-Ap	YML009C-A	""	""
S000004470	Spt5p	YML010W	9928.0	molecules/cell
S000004471	Yml009W-Bp	YML009W-B	""	""
S000004472	Rad33p	YML011C	1162.0	molecules/cell
S000004473	Erv25p	YML012W	13236.0	molecules/cell
S000004474	Yml012C-Ap	YML012C-A	""	""
S000004475	Ubx2p	YML013W	3056.0	molecules/cell
S000004476	Trm9p	YML014W	1983.0	molecules/cell
S000004477	Taf11p	YML015C	2316.0	molecules/cell
S000004478	Ppz1p	YML016C	3486.0	molecules/cell
S000004479	Psp2p	YML017W	5027.0	molecules/cell
S000004480	Yml018Cp	YML018C	4289.0	molecules/cell
S000004481	Ost6p	YML019W	1800.0	molecules/cell
S000004482	Yml020Wp	YML020W	931.0	molecules/cell
S000004483	Ung1p	YML021C	1854.0	molecules/cell
S000004484	Apt1p	YML022W	14278.0	molecules/cell
S000004485	Nse5p	YML023C	1397.0	molecules/cell
S000004486	Rps17Ap	YML024W	81932.0	molecules/cell
S000004487	Yml6p	YML025C	3628.0	molecules/cell
S000004488	Rps18Bp	YML026C	19802.0	molecules/cell
S000004489	Yox1p	YML027W	1402.0	molecules/cell
S000004490	Tsa1p	YML028W	103335.0	molecules/cell
S000004491	Usa1p	YML029W	1822.0	molecules/cell
S000004492	Rcf1p	YML030W	1955.0	molecules/cell
S000004493	Ndc1p	YML031W	4097.0	molecules/cell
S000004494	Rad52p	YML032C	2164.0	molecules/cell
S000004497	Src1p	YML034W	2065.0	molecules/cell
S000004498	Amd1p	YML035C	3973.0	molecules/cell
S000004499	Yml034C-Ap	YML034C-A	""	""
S000004500	Cgi121p	YML036W	4266.0	molecules/cell
S000004501	Lft1p	YML037C	1229.0	molecules/cell
S000004502	Ymd8p	YML038C	2384.0	molecules/cell
S000004503	Yml039Wp	YML039W	""	""
S000004504	Yml040Wp	YML040W	""	""
S000004505	Vps71p	YML041C	1243.0	molecules/cell
S000004506	Cat2p	YML042W	569.0	molecules/cell
S000004507	Rrn11p	YML043C	476.0	molecules/cell
S000004508	Yml045Wp	YML045W	""	""
S000004509	Prp39p	YML046W	2723.0	molecules/cell
S000004510	Prm6p	YML047C	""	""
S000004511	Gsf2p	YML048W	10619.0	molecules/cell
S000004512	Yml047W-Ap	YML047W-A	""	""
S000004513	Rse1p	YML049C	5428.0	molecules/cell
S000004514	Aim32p	YML050W	1164.0	molecules/cell
S000004515	Gal80p	YML051W	1153.0	molecules/cell
S000004516	Sur7p	YML052W	7813.0	molecules/cell
S000004517	Yml053Cp	YML053C	1702.0	molecules/cell
S000004518	Cyb2p	YML054C	4590.0	molecules/cell
S000004519	Spc2p	YML055W	4963.0	molecules/cell
S000004520	Imd4p	YML056C	12300.0	molecules/cell
S000004521	Cmp2p	YML057W	4495.0	molecules/cell
S000004522	Yml057C-Ap	YML057C-A	""	""
S000004523	Sml1p	YML058W	21089.0	molecules/cell
S000004524	Nte1p	YML059C	2268.0	molecules/cell
S000004525	Ogg1p	YML060W	2369.0	molecules/cell
S000004526	Pif1p	YML061C	1366.0	molecules/cell
S000004527	Mft1p	YML062C	3969.0	molecules/cell
S000004528	Rps1Bp	YML063W	107000.0	molecules/cell
S000004529	Tem1p	YML064C	1543.0	molecules/cell
S000004530	Orc1p	YML065W	1449.0	molecules/cell
S000004531	Sma2p	YML066C	""	molecules/cell
S000004532	Erv41p	YML067C	4043.0	molecules/cell
S000004533	Itt1p	YML068W	846.0	molecules/cell
S000004534	Pob3p	YML069W	10154.0	molecules/cell
S000004535	Dak1p	YML070W	19765.0	molecules/cell
S000004536	Cog8p	YML071C	3030.0	molecules/cell
S000004537	Tcb3p	YML072C	9962.0	molecules/cell
