up:P25659	sce:YCR076C
up:P25644	sce:YCR077C
up:P25646	sce:YCR079W
up:P25648	sce:YCR081W
up:P25649	sce:YCR082W
up:P25372	sce:YCR083W
up:P16649	sce:YCR084C
up:P25651	sce:YCR086W
up:P37263	sce:YCR087C-A
up:P15891	sce:YCR088W
up:P25653	sce:YCR089W
up:P25654	sce:YCR090C
up:P25341	sce:YCR091W
up:P25336	sce:YCR092C
up:P25655	sce:YCR093W
up:P25656	sce:YCR094W
up:P25366	sce:YCR095C
up:Q3E787	sce:YCR095W-A
up:P0CY13	sce:YCR096C
up:P0CY11	sce:YCR097W
up:P25346	sce:YCR098C
up:P25657	sce:YCR099C
up:P25606	sce:YCR100C
up:P25607	sce:YCR101C
up:P25608	sce:YCR102C
up:P25610	sce:YCR104W
up:P25377	sce:YCR105W
up:P25611	sce:YCR106W
up:P25612	sce:YCR107W
up:Q3E819	sce:YCR108C
up:Q03441	sce:YDL001W
up:Q03435	sce:YDL002C
up:Q12158	sce:YDL003W
up:Q12165	sce:YDL004W
up:Q12124	sce:YDL005C
up:P35182	sce:YDL006W
up:Q2V2Q0	sce:YDL007C-A
up:P40327	sce:YDL007W
up:Q12157	sce:YDL008W
up:Q12210	sce:YDL009C
up:Q12438	sce:YDL010W
up:Q12489	sce:YDL012C
up:P32828	sce:YDL013W
up:P15646	sce:YDL014W
up:Q99190	sce:YDL015C
up:P06243	sce:YDL017W
up:Q12403	sce:YDL018C
up:Q12451	sce:YDL019C
up:Q03465	sce:YDL020C
up:Q12008	sce:YDL021W
up:P0C5L6	sce:YDL022C-A
up:Q00055	sce:YDL022W
up:P52290	sce:YDL024C
up:Q12100	sce:YDL025C
up:Q07349	sce:YDL027C
up:P54199	sce:YDL028C
up:P32381	sce:YDL029W
up:P19736	sce:YDL030W
up:Q12389	sce:YDL031W
up:Q12093	sce:YDL033C
up:Q12361	sce:YDL035C
up:Q12069	sce:YDL036C
up:Q12140	sce:YDL037C
up:Q12459	sce:YDL039C
up:P12945	sce:YDL040C
up:P06700	sce:YDL042C
up:Q07350	sce:YDL043C
up:P10849	sce:YDL044C
up:P38913	sce:YDL045C
up:O75012	sce:YDL045W-A
up:Q12408	sce:YDL046W
up:P20604	sce:YDL047W
up:Q07351	sce:YDL048C
up:P50112	sce:YDL049C
up:P33399	sce:YDL051W
up:P33333	sce:YDL052C
up:Q07362	sce:YDL053C
up:Q07376	sce:YDL054C
up:P41940	sce:YDL055C
